Actividad,C1,C2,Impuesto,Año,Valor
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1981,16093.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1981,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1981,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1981,25713.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1982,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1982,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1982,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1982,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1982,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1982,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1982,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1982,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1982,43972.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1982,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1982,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1982,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1982,33536.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1982,6615.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1982,21282.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1982,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1982,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1982,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1982,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1982,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1982,46655.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1982,21215.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1983,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1983,7436.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1983,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1983,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1983,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1983,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1983,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1983,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1983,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1983,42845.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1983,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1983,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1983,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1983,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1983,21357.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1983,72515.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1983,41997.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1983,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1983,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1983,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1983,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1983,27716.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1984,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1984,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1984,38979.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1984,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1984,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1984,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1984,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1984,46087.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1984,62269.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1984,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1984,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1984,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1984,81860.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1984,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1984,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1984,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1984,25827.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1984,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1984,11027.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1984,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1984,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1984,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1985,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1985,90415.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1985,94801.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1985,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1985,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1985,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1985,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1985,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1985,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1985,19486.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1985,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1985,61532.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1985,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1985,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1985,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1985,100567.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1985,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1985,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1985,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1985,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1985,40758.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1985,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1986,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1986,24926.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1986,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1986,62743.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1986,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1986,124243.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1986,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1986,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1986,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1986,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1986,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1986,98358.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1986,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1986,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1986,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1986,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1986,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1986,141638.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1986,126040.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1986,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1986,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1986,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1987,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1987,16964.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1987,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1987,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1987,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1987,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1987,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1987,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1987,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1987,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1987,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1987,156559.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1987,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1987,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1987,91559.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1987,241266.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1987,161770.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1987,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1987,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1987,173164.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1987,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1987,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1988,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1988,205014.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1988,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1988,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1988,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1988,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1988,228690.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1988,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1988,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1988,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1988,19077.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1988,221915.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1988,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1988,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1988,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1988,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1988,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1988,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1988,133764.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1988,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1988,334655.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1988,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1989,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1989,307202.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1989,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1989,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1989,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1989,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1989,26213.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1989,297145.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1989,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1989,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1989,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1989,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1989,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1989,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1989,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1989,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1989,161477.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1989,400102.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1989,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1989,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1989,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1989,289600.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1990,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1990,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1990,33789.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1990,212470.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1990,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1990,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1990,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1990,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1990,411482.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1990,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1990,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1990,492678.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1990,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1990,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1990,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1990,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1990,388745.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1990,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1990,433768.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1990,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1990,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1990,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1991,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1991,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1991,630994.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1991,628340.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1991,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1991,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1991,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1991,418231.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1991,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1991,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1991,40831.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1991,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1991,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1991,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1991,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1991,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1991,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1991,275308.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1991,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1991,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1991,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1991,778766.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1992,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1992,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1992,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1992,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1992,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1992,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1992,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1992,745607.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1992,460017.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1992,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1992,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1992,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1992,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1992,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1992,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1992,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1992,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1992,337007.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1992,1100714.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1992,55565.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1992,894653.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1992,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1993,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1993,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1993,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1993,15494.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1993,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1993,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1993,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1993,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1993,1359344.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1993,545489.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1993,901757.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1993,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1993,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1993,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1993,0.0
