Actividad,C1,C2,Impuesto,Año,Valor,IPC,Valor_pc,Rubro,Rubro2
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1983,27716.0,1.1046300199074413,2509075.391806061,Renta,Renta
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1984,0.0,1.3054718417087945,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1984,0.0,1.3054718417087945,0.0,IVA,IVA
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1984,38979.0,1.3054718417087945,2985816.986215384,Renta,Renta
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1984,0.0,1.3054718417087945,0.0,Otros impuestos,Retención CREE
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1984,0.0,1.3054718417087945,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1984,0.0,1.3054718417087945,0.0,Otros impuestos,Impuestos saludables - Bebidas azucaradas
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1984,0.0,1.3054718417087945,0.0,Otros impuestos,Riqueza
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1984,46087.0,1.3054718417087945,3530294.4519794867,Otros impuestos,Arancel
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1984,62269.0,1.3054718417087945,4769846.274010256,IVA,IVA
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1984,0.0,1.3054718417087945,0.0,Otros impuestos,Patrimonio
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1984,0.0,1.3054718417087945,0.0,Otros impuestos,Por clasificar
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1984,0.0,1.3054718417087945,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1984,81860.0,1.3054718417087945,6270529.733743588,Renta,Renta
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1984,0.0,1.3054718417087945,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1984,0.0,1.3054718417087945,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1984,0.0,1.3054718417087945,0.0,Otros impuestos,Impuestos saludables - Comestibles ultraprocesados
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1984,25827.0,1.3054718417087945,1978365.153107692,IVA,IVA
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1984,0.0,1.3054718417087945,0.0,Otros impuestos,G.M.F.
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1984,11027.0,1.3054718417087945,844675.4382358973,Otros impuestos,Timbre nacional
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1984,0.0,1.3054718417087945,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1984,0.0,1.3054718417087945,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1984,0.0,1.3054718417087945,0.0,Otros impuestos,Impuesto gasolina y ACPM
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1985,0.0,1.5933451196240669,0.0,Otros impuestos,Por clasificar
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1985,90415.0,1.5933451196240669,5674539.613949581,Otros impuestos,Arancel
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1985,94801.0,1.5933451196240669,5949809.544235295,IVA,IVA
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1985,0.0,1.5933451196240669,0.0,Otros impuestos,Impuestos saludables - Bebidas azucaradas
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1985,0.0,1.5933451196240669,0.0,Otros impuestos,G.M.F.
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1985,0.0,1.5933451196240669,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1985,0.0,1.5933451196240669,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1985,0.0,1.5933451196240669,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1985,0.0,1.5933451196240669,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1985,19486.0,1.5933451196240669,1222961.664739496,Otros impuestos,Timbre nacional
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1985,0.0,1.5933451196240669,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1985,61532.0,1.5933451196240669,3861812.437378152,Renta,Renta
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1985,0.0,1.5933451196240669,0.0,Otros impuestos,Impuestos saludables - Comestibles ultraprocesados
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1985,0.0,1.5933451196240669,0.0,Otros impuestos,Riqueza
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1985,0.0,1.5933451196240669,0.0,Otros impuestos,Impuesto gasolina y ACPM
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1985,100567.0,1.5933451196240669,6311689.7125042025,Renta,Renta
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1985,0.0,1.5933451196240669,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1985,0.0,1.5933451196240669,0.0,Otros impuestos,Retención CREE
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1985,0.0,1.5933451196240669,0.0,Otros impuestos,Patrimonio
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1985,0.0,1.5933451196240669,0.0,IVA,IVA
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1985,40758.0,1.5933451196240669,2558014.5505210087,IVA,IVA
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1985,0.0,1.5933451196240669,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1986,0.0,1.9280814892929885,0.0,Otros impuestos,Patrimonio
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1986,24926.0,1.9280814892929885,1292787.682388889,Otros impuestos,Timbre nacional
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1986,0.0,1.9280814892929885,0.0,Otros impuestos,Retención CREE
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1986,62743.0,1.9280814892929885,3254167.437861111,IVA,IVA
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1986,0.0,1.9280814892929885,0.0,Otros impuestos,Impuestos saludables - Comestibles ultraprocesados
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1986,124243.0,1.9280814892929885,6443866.646194444,Renta,Renta
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1986,0.0,1.9280814892929885,0.0,Otros impuestos,G.M.F.
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1986,0.0,1.9280814892929885,0.0,IVA,IVA
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1986,0.0,1.9280814892929885,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1986,0.0,1.9280814892929885,0.0,Otros impuestos,Impuestos saludables - Bebidas azucaradas
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1986,0.0,1.9280814892929885,0.0,Otros impuestos,Riqueza
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1986,98358.0,1.9280814892929885,5101340.402166666,Renta,Renta
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1986,0.0,1.9280814892929885,0.0,Otros impuestos,Por clasificar
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1986,0.0,1.9280814892929885,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1986,0.0,1.9280814892929885,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1986,0.0,1.9280814892929885,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1986,0.0,1.9280814892929885,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1986,141638.0,1.9280814892929885,7346058.804388888,Otros impuestos,Arancel
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1986,126040.0,1.9280814892929885,6537068.101111111,IVA,IVA
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1986,0.0,1.9280814892929885,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1986,0.0,1.9280814892929885,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1986,0.0,1.9280814892929885,0.0,Otros impuestos,Impuesto gasolina y ACPM
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1987,0.0,2.3967124068294785,0.0,Otros impuestos,Por clasificar
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1987,16964.0,2.3967124068294785,707802.9033296091,Otros impuestos,Timbre nacional
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1987,0.0,2.3967124068294785,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1987,0.0,2.3967124068294785,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1987,0.0,2.3967124068294785,0.0,Otros impuestos,Patrimonio
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1987,0.0,2.3967124068294785,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1987,0.0,2.3967124068294785,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1987,0.0,2.3967124068294785,0.0,Otros impuestos,Riqueza
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1987,0.0,2.3967124068294785,0.0,IVA,IVA
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1987,0.0,2.3967124068294785,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1987,0.0,2.3967124068294785,0.0,Otros impuestos,Impuesto gasolina y ACPM
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1987,156559.0,2.3967124068294785,6532239.727798884,Renta,Renta
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1987,0.0,2.3967124068294785,0.0,Otros impuestos,Impuestos saludables - Comestibles ultraprocesados
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1987,0.0,2.3967124068294785,0.0,Otros impuestos,Retención CREE
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1987,91559.0,2.3967124068294785,3820191.347910615,IVA,IVA
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1987,241266.0,2.3967124068294785,10066539.452648045,Otros impuestos,Arancel
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1987,161770.0,2.3967124068294785,6749662.560223465,Renta,Renta
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1987,0.0,2.3967124068294785,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1987,0.0,2.3967124068294785,0.0,Otros impuestos,Impuestos saludables - Bebidas azucaradas
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1987,173164.0,2.3967124068294785,7225063.779307263,IVA,IVA
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1987,0.0,2.3967124068294785,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1987,0.0,2.3967124068294785,0.0,Otros impuestos,G.M.F.
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1988,0.0,3.0661851461673217,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1988,205014.0,3.0661851461673217,6686288.99517904,Renta,Renta
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1988,0.0,3.0661851461673217,0.0,Otros impuestos,G.M.F.
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1988,0.0,3.0661851461673217,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1988,0.0,3.0661851461673217,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1988,0.0,3.0661851461673217,0.0,Otros impuestos,Impuesto gasolina y ACPM
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1988,228690.0,3.0661851461673217,7458453.716855896,IVA,IVA
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1988,0.0,3.0661851461673217,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1988,0.0,3.0661851461673217,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1988,0.0,3.0661851461673217,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1988,19077.0,3.0661851461673217,622173.7791615721,Otros impuestos,Timbre nacional
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1988,221915.0,3.0661851461673217,7237495.109432315,Renta,Renta
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1988,0.0,3.0661851461673217,0.0,Otros impuestos,Por clasificar
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1988,0.0,3.0661851461673217,0.0,Otros impuestos,Patrimonio
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1988,0.0,3.0661851461673217,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1988,0.0,3.0661851461673217,0.0,Otros impuestos,Impuestos saludables - Bebidas azucaradas
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1988,0.0,3.0661851461673217,0.0,Otros impuestos,Impuestos saludables - Comestibles ultraprocesados
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1988,0.0,3.0661851461673217,0.0,IVA,IVA
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1988,133764.0,3.0661851461673217,4362554.56286463,IVA,IVA
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1988,0.0,3.0661851461673217,0.0,Otros impuestos,Retención CREE
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1988,334655.0,3.0661851461673217,10914376.792227076,Otros impuestos,Arancel
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1988,0.0,3.0661851461673217,0.0,Otros impuestos,Riqueza
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1989,0.0,3.869552433372734,0.0,Otros impuestos,Impuestos saludables - Comestibles ultraprocesados
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1989,307202.0,3.869552433372734,7938954.318089966,IVA,IVA
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1989,0.0,3.869552433372734,0.0,Otros impuestos,Por clasificar
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1989,0.0,3.869552433372734,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1989,0.0,3.869552433372734,0.0,Otros impuestos,Patrimonio
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1989,0.0,3.869552433372734,0.0,Otros impuestos,Retención CREE
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1989,26213.0,3.869552433372734,677416.8447474049,Otros impuestos,Timbre nacional
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1989,297145.0,3.869552433372734,7679053.459446367,Renta,Renta
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1989,0.0,3.869552433372734,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1989,0.0,3.869552433372734,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1989,0.0,3.869552433372734,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1989,0.0,3.869552433372734,0.0,Otros impuestos,G.M.F.
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1989,0.0,3.869552433372734,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1989,0.0,3.869552433372734,0.0,Otros impuestos,Riqueza
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1989,0.0,3.869552433372734,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1989,0.0,3.869552433372734,0.0,Otros impuestos,Impuestos saludables - Bebidas azucaradas
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1989,161477.0,3.869552433372734,4173014.910131488,IVA,IVA
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1989,400102.0,3.869552433372734,10339748.766532872,Otros impuestos,Arancel
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1989,0.0,3.869552433372734,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1989,0.0,3.869552433372734,0.0,IVA,IVA
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1989,0.0,3.869552433372734,0.0,Otros impuestos,Impuesto gasolina y ACPM
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1989,289600.0,3.869552433372734,7484069.669204152,Renta,Renta
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1990,0.0,5.121466455934501,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1990,0.0,5.121466455934501,0.0,Otros impuestos,Impuestos saludables - Bebidas azucaradas
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1990,33789.0,5.121466455934501,659752.4418196079,Otros impuestos,Timbre nacional
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1990,212470.0,5.121466455934501,4148616.452496732,IVA,IVA
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1990,0.0,5.121466455934501,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1990,0.0,5.121466455934501,0.0,Otros impuestos,Impuesto de normalización tributaria
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1990,0.0,5.121466455934501,0.0,IVA,IVA
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1990,0.0,5.121466455934501,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1990,411482.0,5.121466455934501,8034456.606138563,IVA,IVA
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1990,0.0,5.121466455934501,0.0,Otros impuestos,Impuestos saludables - Comestibles ultraprocesados
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1990,0.0,5.121466455934501,0.0,Otros impuestos,G.M.F.
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1990,492678.0,5.121466455934501,9619861.893835295,Otros impuestos,Arancel
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1990,0.0,5.121466455934501,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1990,0.0,5.121466455934501,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1990,0.0,5.121466455934501,0.0,Otros impuestos,Retención CREE
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1990,0.0,5.121466455934501,0.0,Otros impuestos,Riqueza
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1990,388745.0,5.121466455934501,7590501.731189542,Renta,Renta
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1990,0.0,5.121466455934501,0.0,Otros impuestos,Consumo bienes inmuebles
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1990,433768.0,5.121466455934501,8469605.409547713,Renta,Renta
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1990,0.0,5.121466455934501,0.0,Otros impuestos,Por clasificar
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1990,0.0,5.121466455934501,0.0,Otros impuestos,Impuesto gasolina y ACPM
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1990,0.0,5.121466455934501,0.0,Otros impuestos,Patrimonio
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1991,0.0,6.493885571577079,0.0,Otros impuestos,Declaraciones CREE
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1991,0.0,6.493885571577079,0.0,Otros impuestos,Retención CREE
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1991,630994.0,6.493885571577079,9716740.355909279,Renta,Renta
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1991,628340.0,6.493885571577079,9675871.141773196,IVA,IVA
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1991,0.0,6.493885571577079,0.0,Otros impuestos,Impuesto unificado RST (Simple)
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1991,0.0,6.493885571577079,0.0,IVA,IVA
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1991,0.0,6.493885571577079,0.0,Otros impuestos,Por clasificar
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1991,418231.0,6.493885571577079,6440381.42326598,Otros impuestos,Arancel
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1991,0.0,6.493885571577079,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1991,0.0,6.493885571577079,0.0,Otros impuestos,Impuesto al carbono
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1991,40831.0,6.493885571577079,628760.6941938144,Otros impuestos,Timbre nacional
