CTA PROG,SUBC SUBP,OBJG PROY,ORD SPRY,Fuente,Rec.,Sit,Nombre del rubro,Apropiación 2025,Código de entidad,Entidad,Código de sector,Sector,Tipo de gasto,Año,% porc
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,Nación,10,C,IMPUESTOS,1708575000,1501,Ministerio de defensa nacional,15,Defensa y policía,Funcionamiento,2025,0.0003
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",TASAS Y DERECHOS ADMINISTRATIVOS,,,Nación,10,C,TASAS Y DERECHOS ADMINISTRATIVOS,24380000,1501,Ministerio de defensa nacional,15,Defensa y policía,Funcionamiento,2025,0.0
,,,,Nación,10,C,INVERSION,54275077800,1501,Ministerio de defensa nacional,15,Defensa y policía,Inversión,2025,0.0103
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Nación,10,C,SALARIO,13681940378,1501,Ministerio de defensa nacional,15,Defensa y policía,Funcionamiento,2025,0.0026
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Nación,10,C,CONTRIBUCIONES INHERENTES A LA NÓMINA,4508925953,1501,Ministerio de defensa nacional,15,Defensa y policía,Funcionamiento,2025,0.0009
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Nación,10,C,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,3344288224,1501,Ministerio de defensa nacional,15,Defensa y policía,Funcionamiento,2025,0.0006
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Nación,10,C,ADQUISICIÓN DE BIENES  Y SERVICIOS,11533860000,1501,Ministerio de defensa nacional,15,Defensa y policía,Funcionamiento,2025,0.0022
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES DE ASISTENCIA SOCIAL,"DERECHOS DE LOS SOLDADOS CUANDO RECIBEN LESIONES PERMANENTES, LITERAL F, ART. 40, LEY 48 DE 1993 (NO DE PENSIONES)",Nación,10,C,"DERECHOS DE LOS SOLDADOS CUANDO RECIBEN LESIONES PERMANENTES, LITERAL F, ART. 40, LEY 48 DE 1993 (NO DE PENSIONES)",17297280,1501,Ministerio de defensa nacional,15,Defensa y policía,Funcionamiento,2025,0.0
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES DE ASISTENCIA SOCIAL,SUBSIDIO VETERANOS GUERRA DE KOREA Y CONFLICTO CON EL PERÚ. LEY 683 DE 2001 (NO DE PENSIONES),Nación,10,C,SUBSIDIO VETERANOS GUERRA DE KOREA Y CONFLICTO CON EL PERÚ. LEY 683 DE 2001 (NO DE PENSIONES),4635671000,1501,Ministerio de defensa nacional,15,Defensa y policía,Funcionamiento,2025,0.0009
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,MESADAS PENSIONALES (DE PENSIONES),Nación,10,C,MESADAS PENSIONALES (DE PENSIONES),1905601241501,1501,Ministerio de defensa nacional,15,Defensa y policía,Funcionamiento,2025,0.3617
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),Nación,10,C,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),90000000,1501,Ministerio de defensa nacional,15,Defensa y policía,Funcionamiento,2025,0.0
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,AUXILIOS FUNERARIOS (OTRAS PRESTACIONES DE JUBILACIÓN),Nación,10,C,AUXILIO FUNERARIO (NO DE PENSIONES),4855000000,1501,Ministerio de defensa nacional,15,Defensa y policía,Funcionamiento,2025,0.0009
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,APORTE PREVISIÓN SOCIAL SERVICIOS MÉDICOS (OTRAS PRESTACIONES DE JUBILACIÓN),Nación,10,C,APORTE PREVISIÓN SOCIAL SERVICIOS MÉDICOS (OTRAS PRESTACIONES DE JUBILACIÓN),132823962800,1501,Ministerio de defensa nacional,15,Defensa y policía,Funcionamiento,2025,0.0252
TRANSFERENCIAS CORRIENTES,BECAS Y OTROS BENEFICIOS DE EDUCACIÓN ,BECAS Y OTROS BENEFICIOS DE EDUCACIÓN ,TRANSFERENCIA CONVENIOS ICETEX,Nación,10,C,TRANSFERENCIA CONVENIOS ICETEX,10029000000,1501,Ministerio de defensa nacional,15,Defensa y policía,Funcionamiento,2025,0.0019
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,Nación,10,C,IMPUESTOS,1000000,1501,Ministerio de defensa nacional,15,Defensa y policía,Funcionamiento,2025,0.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Propios,20,S,SALARIO,6749804848,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0013
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Propios,20,S,CONTRIBUCIONES INHERENTES A LA NÓMINA,2310559715,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0004
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Propios,20,S,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,844904838,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0002
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Propios,20,S,ADQUISICIÓN DE BIENES  Y SERVICIOS,13720879164,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0026
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,MESADAS PENSIONALES (DE PENSIONES),Propios,20,S,MESADAS PENSIONALES (DE PENSIONES),1963665186,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0004
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,CUOTAS PARTES PENSIONALES (DE PENSIONES),Propios,20,S,CUOTAS PARTES PENSIONALES (DE PENSIONES),17866891,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,BONOS PENSIONALES (DE PENSIONES),Propios,20,S,BONOS PENSIONALES (DE PENSIONES),1768034432,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0003
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),Propios,20,S,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),60000000,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,ASIGNACIÓNES DE RETIRO (NO DE PENSIONES),Nación,10,C,ASIGNACIONES DE RETIRO (NO DE PENSIONES),6706362685972,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,1.2731
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,ASIGNACIÓNES DE RETIRO (NO DE PENSIONES),Propios,20,S,ASIGNACIONES DE RETIRO (NO DE PENSIONES),333237862767,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0633
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,APORTE PREVISIÓN SOCIAL SERVICIOS MÉDICOS (OTRAS PRESTACIONES DE JUBILACIÓN),Nación,10,C,APORTE PREVISIÓN SOCIAL SERVICIOS MÉDICOS (OTRAS PRESTACIONES DE JUBILACIÓN),565586006721,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.1074
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,"BIENESTAR SOCIAL AFILIADOS DE LA CAJA DE RETIRO DE LAS FUERZAS MILITARES Y LA CAJA DE SUELDOS DE RETIRO DE LA POLICÍA NACIONAL, DECRETOS 2002 Y 2003 DE 1984 (NO DE PENSIONES)",Propios,20,S,"BIENESTAR SOCIAL AFILIADOS DE LA CAJA DE RETIRO DE LAS FUERZAS MILITARES Y LA CAJA DE SUELDOS DE RETIRO DE LA POLICÍA NACIONAL, DECRETOS 2002 Y 2003 DE 1984 (NO DE PENSIONES)",411521580,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0001
TRANSFERENCIAS CORRIENTES,SENTENCIAS Y CONCILIACIONES,,,Nación,10,C,SENTENCIAS Y CONCILIACIONES,16863065000,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0032
TRANSFERENCIAS CORRIENTES,SENTENCIAS Y CONCILIACIONES,,,Propios,20,S,SENTENCIAS Y CONCILIACIONES,12206387000,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0023
GASTOS DE COMERCIALIZACIÓN Y PRODUCCIÓN,,,,Propios,20,S,GASTOS DE COMERCIALIZACIÓN Y PRODUCCIÓN,6619819599,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0013
DISMINUCIÓN DE PASIVOS,CESANTÍAS,,,Propios,20,S,CESANTÍAS,814719426,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0002
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,Propios,20,S,IMPUESTOS,2199031000,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0004
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,Nación,10,C,CUOTA DE FISCALIZACIÓN Y AUDITAJE,7804759582,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0015
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,Propios,20,S,CUOTA DE FISCALIZACIÓN Y AUDITAJE,7067675251,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Funcionamiento,2025,0.0013
SERVICIO DE LA DEUDA PÚBLICA INTERNA,FONDO DE CONTINGENCIAS,APORTES AL FONDO DE CONTINGENCIAS,,Nación,10,C,APORTES AL FONDO DE CONTINGENCIAS,10282307696,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Deuda,2025,0.002
,,,,Propios,20,S,INVERSION,16476795312,1503,Caja de retiro de las fuerzas militares,15,Defensa y policía,Inversión,2025,0.0031
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Propios,20,S,SALARIO,4264000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Funcionamiento,2025,0.0008
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Propios,20,S,CONTRIBUCIONES INHERENTES A LA NÓMINA,1462000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Funcionamiento,2025,0.0003
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Propios,20,S,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,573000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Funcionamiento,2025,0.0001
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Propios,20,S,ADQUISICIÓN DE BIENES  Y SERVICIOS,2849000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Funcionamiento,2025,0.0005
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,MESADAS PENSIONALES (DE PENSIONES),Propios,20,S,MESADAS PENSIONALES (DE PENSIONES),71000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Funcionamiento,2025,0.0
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),Propios,20,S,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),33000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Funcionamiento,2025,0.0
GASTOS DE COMERCIALIZACIÓN Y PRODUCCIÓN,,,,Propios,20,S,GASTOS DE COMERCIALIZACIÓN Y PRODUCCIÓN,16431000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Funcionamiento,2025,0.0031
DISMINUCIÓN DE PASIVOS,CESANTÍAS,,,Propios,20,S,CESANTÍAS,200000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Funcionamiento,2025,0.0
DISMINUCIÓN DE PASIVOS,DEPÓSITO EN PRENDA,,,Propios,20,S,DEPÓSITO EN PRENDA,5600000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Funcionamiento,2025,0.0011
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,Propios,20,S,IMPUESTOS,4100000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Funcionamiento,2025,0.0008
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,Propios,20,S,CUOTA DE FISCALIZACIÓN Y AUDITAJE,136000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CONTRIBUCIÓN DE VALORIZACIÓN MUNICIPAL,,Propios,20,S,CONTRIBUCIÓN DE VALORIZACIÓN MUNICIPAL,246000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA","MULTAS, SANCIONES E INTERESES DE MORA",,,Propios,20,S,"MULTAS, SANCIONES E INTERESES DE MORA",53000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Funcionamiento,2025,0.0
SERVICIO DE LA DEUDA PÚBLICA INTERNA,FONDO DE CONTINGENCIAS,APORTES AL FONDO DE CONTINGENCIAS,,Propios,20,S,APORTES AL FONDO DE CONTINGENCIAS,24000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Deuda,2025,0.0
,,,,Propios,20,S,INVERSION,26500000000,1507,Instituto casas fiscales del ejército,15,Defensa y policía,Inversión,2025,0.005
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Nación,10,C,SALARIO,13103481415,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0025
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Nación,10,C,CONTRIBUCIONES INHERENTES A LA NÓMINA,4893028514,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0009
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Nación,10,C,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,1776375973,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0003
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Nación,10,C,ADQUISICIÓN DE BIENES  Y SERVICIOS,6068234032,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0012
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A OTRAS ENTIDADES DEL GOBIERNO GENERAL,FONDO NACIONAL DE EMERGENCIAS,Nación,10,C,FONDO NACIONAL DE EMERGENCIAS,10847091903,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0021
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A OTRAS ENTIDADES DEL GOBIERNO GENERAL,FONDO NACIONAL DE EMERGENCIAS,Propios,20,S,FONDO NACIONAL DE EMERGENCIAS,3000000000,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0006
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,MESADAS PENSIONALES (DE PENSIONES),Nación,10,C,MESADAS PENSIONALES (DE PENSIONES),1903760000,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0004
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,CUOTAS PARTES PENSIONALES (DE PENSIONES),Nación,10,C,CUOTAS PARTES PENSIONALES (DE PENSIONES),30740000,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,BONOS PENSIONALES (DE PENSIONES),Nación,10,C,BONOS PENSIONALES (DE PENSIONES),1223240000,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0002
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),Nación,10,C,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),82680000,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,AUXILIOS FUNERARIOS (OTRAS PRESTACIONES DE JUBILACIÓN),Nación,10,C,AUXILIO FUNERARIO (NO DE PENSIONES),28620000,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0
TRANSFERENCIAS CORRIENTES,SENTENCIAS Y CONCILIACIONES,,,Nación,10,C,SENTENCIAS Y CONCILIACIONES,636000000,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0001
DISMINUCIÓN DE PASIVOS,CESANTÍAS,,,Nación,10,C,CESANTÍAS,175000000,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,Nación,10,C,IMPUESTOS,159000000,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,Nación,10,C,CUOTA DE FISCALIZACIÓN Y AUDITAJE,120840000,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA","MULTAS, SANCIONES E INTERESES DE MORA",,,Nación,10,C,"MULTAS, SANCIONES E INTERESES DE MORA",8480000,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Funcionamiento,2025,0.0
,,,,Nación,10,C,INVERSION,8520613717,1508,"Defensa civil colombiana, guillermo león valencia",15,Defensa y policía,Inversión,2025,0.0016
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Propios,20,S,SALARIO,13617503000,1510,Club militar de oficiales,15,Defensa y policía,Funcionamiento,2025,0.0026
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Propios,20,S,CONTRIBUCIONES INHERENTES A LA NÓMINA,4724485000,1510,Club militar de oficiales,15,Defensa y policía,Funcionamiento,2025,0.0009
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Propios,20,S,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,1250238000,1510,Club militar de oficiales,15,Defensa y policía,Funcionamiento,2025,0.0002
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Propios,20,S,ADQUISICIÓN DE BIENES  Y SERVICIOS,2489940000,1510,Club militar de oficiales,15,Defensa y policía,Funcionamiento,2025,0.0005
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,MESADAS PENSIONALES (DE PENSIONES),Propios,20,S,MESADAS PENSIONALES (DE PENSIONES),2671200000,1510,Club militar de oficiales,15,Defensa y policía,Funcionamiento,2025,0.0005
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,CUOTAS PARTES PENSIONALES (DE PENSIONES),Propios,20,S,CUOTAS PARTES PENSIONALES (DE PENSIONES),58300000,1510,Club militar de oficiales,15,Defensa y policía,Funcionamiento,2025,0.0
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,BONOS PENSIONALES (DE PENSIONES),Propios,20,S,BONOS PENSIONALES (DE PENSIONES),1002760000,1510,Club militar de oficiales,15,Defensa y policía,Funcionamiento,2025,0.0002
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),Propios,20,S,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),36040000,1510,Club militar de oficiales,15,Defensa y policía,Funcionamiento,2025,0.0
TRANSFERENCIAS CORRIENTES,SENTENCIAS Y CONCILIACIONES,,,Propios,20,S,SENTENCIAS Y CONCILIACIONES,10787620000,1510,Club militar de oficiales,15,Defensa y policía,Funcionamiento,2025,0.002
GASTOS DE COMERCIALIZACIÓN Y PRODUCCIÓN,,,,Propios,20,S,GASTOS DE COMERCIALIZACIÓN Y PRODUCCIÓN,18996260000,1510,Club militar de oficiales,15,Defensa y policía,Funcionamiento,2025,0.0036
DISMINUCIÓN DE PASIVOS,CESANTÍAS,,,Propios,20,S,CESANTÍAS,424000000,1510,Club militar de oficiales,15,Defensa y policía,Funcionamiento,2025,0.0001
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,Propios,20,S,IMPUESTOS,1015480000,1510,Club militar de oficiales,15,Defensa y policía,Funcionamiento,2025,0.0002
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",TASAS Y DERECHOS ADMINISTRATIVOS,,,Propios,20,S,TASAS Y DERECHOS ADMINISTRATIVOS,21200000,1510,Club militar de oficiales,15,Defensa y policía,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,Propios,20,S,CUOTA DE FISCALIZACIÓN Y AUDITAJE,201400000,1510,Club militar de oficiales,15,Defensa y policía,Funcionamiento,2025,0.0
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Propios,20,S,SALARIO,5527368000,1511,Caja de sueldos de retiro de la policía nacional,15,Defensa y policía,Funcionamiento,2025,0.001
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Propios,20,S,CONTRIBUCIONES INHERENTES A LA NÓMINA,1974772800,1511,Caja de sueldos de retiro de la policía nacional,15,Defensa y policía,Funcionamiento,2025,0.0004
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Propios,20,S,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,694108800,1511,Caja de sueldos de retiro de la policía nacional,15,Defensa y policía,Funcionamiento,2025,0.0001
GASTOS DE PERSONAL,PERSONAL SUPERNUMERARIO Y PLANTA TEMPORAL,SALARIO,,Propios,20,S,SALARIO,14414400,1511,Caja de sueldos de retiro de la policía nacional,15,Defensa y policía,Funcionamiento,2025,0.0
GASTOS DE PERSONAL,PERSONAL SUPERNUMERARIO Y PLANTA TEMPORAL,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Propios,20,S,CONTRIBUCIONES INHERENTES A LA NÓMINA,7761600,1511,Caja de sueldos de retiro de la policía nacional,15,Defensa y policía,Funcionamiento,2025,0.0
GASTOS DE PERSONAL,PERSONAL SUPERNUMERARIO Y PLANTA TEMPORAL,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Propios,20,S,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,3326400,1511,Caja de sueldos de retiro de la policía nacional,15,Defensa y policía,Funcionamiento,2025,0.0
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Propios,20,S,ADQUISICIÓN DE BIENES  Y SERVICIOS,9720110000,1511,Caja de sueldos de retiro de la policía nacional,15,Defensa y policía,Funcionamiento,2025,0.0018
